nombre,categorias,lanzamiento,reseñas,total_reseñas,precio,link
Counter-Strike 2,Disparos en primera personaDisparosMultijugadorCompetitivosAcción,21 AGO 2012,Muy positivas,| 8.169.398 Reseñas de usuarios,Free to Play,https://store.steampowered.com/app/730/CounterStrike_2?snr=1_241_4_action_salebrowseall
PUBG: BATTLEGROUNDS,SupervivenciaDisparosBattle RoyaleMultijugadorDisparos en primera persona,21 DIC 2017,Variadas,| 2.398.137 Reseñas de usuarios,Free to Play,https://store.steampowered.com/app/578080/PUBG_BATTLEGROUNDS?snr=1_241_4_action_salebrowseall
The First Descendant,Free to PlayDisparos y botínMultijugadorRolDisparos en tercera persona,30 JUN 2024,Variadas,| 69.467 Reseñas de usuarios,Free to Play,https://store.steampowered.com/app/2074920/The_First_Descendant?snr=1_241_4_action_salebrowseall
Dota 2,Free to PlayMOBAMultijugadorEstrategiaeSports,9 JUL 2013,Muy positivas,| 2.283.192 Reseñas de usuarios,Free to Play,https://store.steampowered.com/app/570/Dota_2?snr=1_241_4_action_salebrowseall
ELDEN RING,"Tipo ""Dark Souls""Fantasía oscuraMundo abiertoRolDifíciles",24 FEB 2022,Muy positivas,| 681.636 Reseñas de usuarios,$47.99,https://store.steampowered.com/app/1245620/ELDEN_RING?snr=1_241_4_action_salebrowseall
Path of Exile,Free to PlayFantasía oscuraRol de acciónHack and SlashBotín,23 OCT 2013,Muy positivas,| 222.840 Reseñas de usuarios,Free to Play,https://store.steampowered.com/app/238960/Path_of_Exile?snr=1_241_4_action_salebrowseall
Once Human,SupervivenciaMundo abiertoMultijugadorFree to PlayDisparos,9 JUL 2024,Mayormente positivas,| 54.929 Reseñas de usuarios,Free to Play,https://store.steampowered.com/app/2139460/Once_Human?snr=1_241_4_action_salebrowseall
Dead by Daylight,TerrorSupervivencia terroríficaMultijugadorCooperativos en líneaCooperativos,14 JUN 2016,Muy positivas,| 532.628 Reseñas de usuarios,"-60%
$14.99
$5.99",https://store.steampowered.com/app/381210/Dead_by_Daylight?snr=1_241_4_action_salebrowseall
NARAKA: BLADEPOINT,Battle RoyaleMultijugadorArtes marcialesJcJ (PvP)Acción,11 AGO 2021,Mayormente positivas,| 239.952 Reseñas de usuarios,Free to Play,https://store.steampowered.com/app/1203220/NARAKA_BLADEPOINT?snr=1_241_4_action_salebrowseall
Warframe,Free to PlayRol de acciónDisparos y botínDisparos en tercera personaAcción,,Muy positivas,| 584.282 Reseñas de usuarios,Free to Play,https://store.steampowered.com/app/230410/Warframe?snr=1_241_4_action_salebrowseall
Grand Theft Auto V,Mundo abiertoAcciónMultijugadorCrímenesSimulador de automóviles,13 ABR 2015,Muy positivas,| 1.679.808 Reseñas de usuarios,"-63%
$39.98
$14.98",https://store.steampowered.com/app/271590/Grand_Theft_Auto_V?snr=1_241_4_action_salebrowseall
Black Myth: Wukong,"MitologíaRol de acciónAcciónRolTipo ""Dark Souls""",19 AGO 2024,,,"Precompra
$59.99",https://store.steampowered.com/app/2358720/Black_Myth_Wukong?snr=1_241_4_action_salebrowseall
ELDEN RING Shadow of the Erdtree,"AcciónRolTipo ""Dark Souls""DifícilesFantasía",20 JUN 2024,Mayormente positivas,| 74.936 Reseñas de usuarios,$31.99,https://store.steampowered.com/app/2778580/ELDEN_RING_Shadow_of_the_Erdtree?snr=1_241_4_action_salebrowseall
Red Dead Redemption 2,Mundo abiertoBuena tramaVaquerosAventuraMultijugador,5 DIC 2019,Muy positivas,| 551.100 Reseñas de usuarios,$59.99,https://store.steampowered.com/app/1174180/Red_Dead_Redemption_2?snr=1_241_4_action_salebrowseall
Apex Legends™,Free to PlayBattle RoyaleMultijugadorDisparos en primera personaDisparos,5 NOV 2020,Variadas,| 923.514 Reseñas de usuarios,Free to Play,https://store.steampowered.com/app/1172470/Apex_Legends?snr=1_241_4_action_salebrowseall
Plants vs. Zombies™ Garden Warfare 2: Edición Deluxe,ZombisDisparos en tercera personaJcJ (PvP)Disparos de héroeDivertidos,16 MAY 2022,Muy positivas,| 21.526 Reseñas de usuarios,"-90%
$29.99
$2.99",https://store.steampowered.com/app/1922560/Plants_vs_Zombies_Garden_Warfare_2_Edicion_Deluxe?snr=1_241_4_action_salebrowseall
Total War: WARHAMMER III,EstrategiaEstrategia por turnosGran estrategiaETRFantasía,17 FEB 2022,Variadas,| 73.947 Reseñas de usuarios,"-50%
$49.99
$24.99",https://store.steampowered.com/app/1142710/Total_War_WARHAMMER_III?snr=1_241_4_action_salebrowseall
Team Fortress 2,Free to PlayDisparos de héroeMultijugadorDisparos en primera personaDisparos,10 OCT 2007,Muy positivas,| 1.111.045 Reseñas de usuarios,Free to Play,https://store.steampowered.com/app/440/Team_Fortress_2?snr=1_241_4_action_salebrowseall
Destiny 2,Free to PlayMundo abiertoDisparos en primera personaMultijugadorDisparos y botín,1 OCT 2019,Muy positivas,| 607.670 Reseñas de usuarios,Free to Play,https://store.steampowered.com/app/1085660/Destiny_2?snr=1_241_4_action_salebrowseall
FINAL FANTASY XIV Online,MMORPGRolMultijugador masivoFantasíaPersonalización de personajes,18 FEB 2014,Muy positivas,| 69.486 Reseñas de usuarios,$15.99,https://store.steampowered.com/app/39210/FINAL_FANTASY_XIV_Online?snr=1_241_4_action_salebrowseall
Tom Clancy's Rainbow Six® Siege,Disparos en primera personaJcJ (PvP)eSportsMultijugadorDisparos,1 DIC 2015,Muy positivas,| 1.109.251 Reseñas de usuarios,$15.99,https://store.steampowered.com/app/359550/Tom_Clancys_Rainbow_Six_Siege?snr=1_241_4_action_salebrowseall
Call of Duty®: Modern Warfare® III,AcciónDisparos en primera personaMultijugadorUn jugadorDisparos,10 NOV 2023,Mayormente negativas,| 10.174 Reseñas de usuarios,"-45%
$69.99
$38.49",https://store.steampowered.com/app/2519060/Call_of_Duty_Modern_Warfare_III?snr=1_241_4_action_salebrowseall
Lost Ark,MMORPGFree to PlayRol de acciónMultijugadorHack and Slash,11 FEB 2022,Mayormente positivas,| 200.160 Reseñas de usuarios,Free to Play,https://store.steampowered.com/app/1599340/Lost_Ark?snr=1_241_4_action_salebrowseall
Call of Duty®,Disparos en primera personaMultijugadorDisparosAcciónUn jugador,28 OCT 2022,Variadas,| 324.129 Reseñas de usuarios,,https://store.steampowered.com/app/1938090/Call_of_Duty?snr=1_241_4_action_salebrowseall
It Takes Two Friend's Pass,CooperativosMultijugadorPantalla divididaCooperativos localesRompecabezas,29 MAY 2024,,,,https://store.steampowered.com/app/2995920/It_Takes_Two_Friends_Pass?snr=1_241_4_action_salebrowseall
HELLDIVERS™ 2,Cooperativos en líneaDisparos en tercera personaMultijugadorJcE (PvE)Acción,8 FEB 2024,Mayormente positivas,| 652.934 Reseñas de usuarios,$39.99,https://store.steampowered.com/app/553850/HELLDIVERS_2?snr=1_241_4_action_salebrowseall
Total War: PHARAOH,EstrategiaETRGran estrategiaAcciónTácticos,11 OCT 2023,Variadas,| 3.100 Reseñas de usuarios,"-33%
$24.99
$16.74",https://store.steampowered.com/app/1937780/Total_War_PHARAOH?snr=1_241_4_action_salebrowseall
Kingdom Rush 5: Alliance TD,EstrategiaDefensa de torres2DCaricaturasCaricaturescos,25 JUL 2024,Muy positivas,| 2.657 Reseñas de usuarios,"NUEVOS
-10%
$10.49
$9.44",https://store.steampowered.com/app/2849080/Kingdom_Rush_5_Alliance_TD?snr=1_241_4_action_salebrowseall
Ready or Not,TácticosRealistasDisparos en primera personaDisparosMultijugador,13 DIC 2023,Muy positivas,| 146.267 Reseñas de usuarios,$32.99,https://store.steampowered.com/app/1144200/Ready_or_Not?snr=1_241_4_action_salebrowseall
Rust,SupervivenciaFabricaciónMultijugadorMundo abiertoFabricación y supervivencia en mundo abierto,8 FEB 2018,Muy positivas,| 897.130 Reseñas de usuarios,$18.99,https://store.steampowered.com/app/252490/Rust?snr=1_241_4_action_salebrowseall
Call of Duty®: Warzone™,Free to PlayDisparos en primera personaMultijugadorBattle RoyaleAcción,16 NOV 2022,Mayormente negativas,| 36.102 Reseñas de usuarios,Free to Play,https://store.steampowered.com/app/1962663/Call_of_Duty_Warzone?snr=1_241_4_action_salebrowseall
Call of Duty®: Modern Warfare® III - BlackCell (Temporada 5),Disparos en primera personaMultijugadorAcciónDisparosUn jugador,24 JUL 2024,Variadas,| 71 Reseñas de usuarios,"NUEVOS
$29.99",https://store.steampowered.com/app/2790720/Call_of_Duty_Modern_Warfare_III__BlackCell_Temporada_5?snr=1_241_4_action_salebrowseall
