puesto,nombre,precio,jugadores_actuales,pico_diario
1,Counter-Strike 2,Free to Play,"658,834","1,276,869"
2,Banana,Free to Play,"435,749","454,197"
3,Dota 2,Free to Play,"303,724","691,422"
4,ELDEN RING,$47.99,"125,875","154,716"
5,Once Human,Free to Play,"120,170","181,705"
6,Path of Exile,Free to Play,"114,773","179,888"
7,PUBG: BATTLEGROUNDS,Free to Play,"95,141","650,349"
8,Call of Duty®,,"88,885","91,394"
9,Grand Theft Auto V,"-63%
$39.98
$14.98","84,121","174,151"
10,Team Fortress 2,Free to Play,"76,623","97,322"
11,Baldur's Gate 3,$34.99,"75,800","88,601"
12,The First Descendant,Free to Play,"74,388","100,351"
13,Rust,$18.99,"73,228","117,498"
14,7 Days to Die,"NUEVOS
$20.99","67,270","99,876"
15,Apex Legends™,Free to Play,"66,330","215,165"
16,Stardew Valley,$4.99,"60,447","116,032"
17,Tom Clancy's Rainbow Six® Siege,$15.99,"59,778","67,620"
18,Crab Game,Free to Play,"57,370","57,676"
19,Destiny 2,Free to Play,"55,255","57,891"
20,Wallpaper Engine,$2.79,"53,708","117,307"
21,NARAKA: BLADEPOINT,Free to Play,"49,053","308,193"
22,Dead by Daylight,"-60%
$14.99
$5.99","45,700","62,050"
23,Warframe,Free to Play,"45,487","61,341"
24,FINAL FANTASY XIV Online,$15.99,"44,321","44,321"
25,War Thunder,Free to Play,"41,465","75,827"
26,EA SPORTS FC™ 24,$69.99,"40,231","67,932"
27,Marvel Rivals Playtest,,"37,220","39,338"
28,Sid Meier’s Civilization® VI,$59.99,"36,289","63,633"
29,The Sims™ 4,Free to Play,"32,966","42,491"
30,Tapple - Idle Clicker,Free to Play,"31,980","34,733"
31,No Man's Sky,$59.99,"30,532","41,067"
32,Football Manager 2024,$39.99,"30,019","64,678"
33,DayZ,$49.99,"29,934","49,803"
34,Overwatch® 2,Free to Play,"29,771","45,751"
35,VRChat,Free to Play,"28,733","35,249"
36,Cats,Free to Play,"27,648","29,969"
37,Red Dead Redemption 2,$59.99,"27,277","45,636"
38,Governor of Poker 3,Free to Play,"27,252","35,130"
39,Palworld,$14.99,"27,207","52,515"
40,Left 4 Dead 2,$5.79,"26,040","31,698"
41,HELLDIVERS™ 2,$39.99,"26,033","28,832"
42,tModLoader,Free to Play,"25,156","44,392"
43,Crosshair X,$0.99,"24,814","31,452"
44,Hearts of Iron IV,$29.99,"24,806","48,958"
45,Project Zomboid,$10.49,"24,632","27,611"
46,Terraria,$5.79,"24,330","38,591"
47,Fallout 4,$11.99,"24,167","30,432"
48,Unturned,Free to Play,"23,904","30,361"
49,Dungeonborne,Free to Play,"22,924","35,351"
50,Dark and Darker,Free to Play,"21,888","26,298"
51,Rocket League®,,"21,437","28,515"
52,Garry's Mod,$5.79,"21,207","33,630"
53,RimWorld,$17.99,"20,759","26,350"
54,Valheim,$19.99,"20,692","31,509"
55,ARK: Survival Evolved,$14.99,"19,526","36,316"
56,Lost Ark,Free to Play,"19,337","25,470"
57,The Elder Scrolls V: Skyrim Special Edition,$23.99,"19,212","22,783"
58,Cyberpunk 2077,$44.99,"18,310","28,968"
59,Euro Truck Simulator 2,$10.09,"17,145","47,844"
60,Total War: WARHAMMER III,"-50%
$49.99
$24.99","16,693","26,534"
61,MIR4,Free to Play,"16,583","17,862"
62,Don't Starve Together,$6.59,"16,392","48,696"
63,Phasmophobia,$7.79,"15,656","25,563"
64,Black Desert,$3.59,"15,070","18,339"
65,Yu-Gi-Oh! Master Duel,Free to Play,"14,893","27,940"
66,Farming Simulator 22,$19.99,"14,769","37,999"
67,PAYDAY 2,$9.99,"14,744","22,546"
68,Geometry Dash,$2.99,"14,582","18,578"
69,Monster Hunter: World,$22.49,"14,060","49,981"
70,Lethal Company,$5.79,"13,751","17,849"
71,Crusader Kings III,$29.99,"13,706","20,120"
72,Sid Meier's Civilization® V,$29.99,"13,644","17,693"
73,Age of Empires II: Definitive Edition,$9.99,"13,615","18,255"
74,Bloons TD 6,"-50%
$7.79
$3.89","13,310","14,659"
75,ARK: Survival Ascended,$20.99,"13,024","15,563"
76,The Binding of Isaac: Rebirth,$14.99,"12,947","20,190"
77,BeamNG.drive,$12.49,"12,675","18,977"
78,Brawlhalla,Free to Play,"12,674","14,798"
79,Soundpad,$2.99,"12,467","17,683"
80,Mount & Blade II: Bannerlord,$24.99,"12,349","26,418"
81,Chained Together,"-10%
$2.99
$2.69","12,186","22,321"
82,THE FINALS,Free to Play,"11,832","14,630"
83,Killing Floor 2,$29.99,"11,760","12,413"
84,Sea of Thieves: 2024 Edition,$23.99,"11,709","19,451"
85,Slay the Spire,$11.49,"11,468","17,899"
86,Factorio,$17.00,"10,888","15,784"
87,Cookie Clicker,$2.99,"10,763","12,307"
88,American Truck Simulator,$10.09,"10,619","11,865"
89,The Elder Scrolls® Online,$11.99,"10,541","14,607"
90,Street Fighter™ 6,"-50%
$44.99
$22.49","10,497","29,453"
91,SMITE®,Free to Play,"10,434","10,795"
92,Europa Universalis IV,$23.99,"10,386","17,798"
93,Fallout 76,$23.99,"10,311","12,451"
94,Counter-Strike: Source,$5.79,"10,020","18,003"
95,Hunt: Showdown,$14.99,"9,813","20,333"
96,Arma 3,"-75%
$14.99
$3.74","9,803","14,139"
97,Stellaris,$23.99,"9,743","13,277"
98,SCUM,$23.99,"9,363","20,690"
99,The Witcher 3: Wild Hunt,$29.99,"9,231","24,277"
100,MapleStory,Free to Play,"9,087","9,632"
